Date,Heure,Pression (hPa),Température (°C),Humidité (%),Vent (km/h),Prévision,Datetime
2025-12-14,13:02:30,1017.7,-6.8,70.0,15.1,3h: pas assez de données | 6h: pas assez de données | 12h: pas assez de données,2025-12-14 13:02:30.661865
2025-12-14,13:05:03,1017.7,-6.8,70.0,15.1,3h: stable | 6h: stable | 12h: stable,2025-12-14 13:05:03.750520
2025-12-14,16:12:12,1018.4,-10.1,60.0,24.0,3h: pas assez de données | 6h: stable | 12h: stable,2025-12-14 16:12:12.921209
2025-12-14,16:15:10,1018.6,-10.4,61.0,24.7,3h: stable | 6h: stable | 12h: stable,2025-12-14 16:15:10.329642
2025-12-14,16:19:31,1018.6,-10.4,61.0,24.7,3h: stable | 6h: stable | 12h: stable,2025-12-14 16:19:31.319274
2025-12-14,16:24:20,1018.6,-10.4,61.0,24.7,3h: stable | 6h: stable | 12h: stable,2025-12-14 16:24:20.655662
2025-12-14,16:24:22,1018.6,-10.4,61.0,24.7,3h: stable | 6h: stable | 12h: stable,2025-12-14 16:24:22.162382
2025-12-14,16:27:30,1018.6,-10.3,61.0,24.5,3h: stable | 6h: stable | 12h: stable,2025-12-14 16:27:30.852027
2025-12-14,17:02:49,1018.7,-11.1,60.0,26.1,3h: stable | 6h: amélioration | 12h: amélioration,2025-12-14 17:02:49.831337
2025-12-14,19:03:54,1018.8,-11.8,61.0,23.1,3h: stable | 6h: amélioration | 12h: amélioration,2025-12-14 19:03:54.410676
2025-12-14,19:14:07,1018.8,-11.8,61.0,23.1,3h: stable | 6h: stable | 12h: amélioration,2025-12-14 19:14:07.177224
2025-12-14,19:23:07,1019.0,-11.9,62.0,22.6,3h: stable | 6h: stable | 12h: amélioration,2025-12-14 19:23:07.166524
2025-12-14,19:23:11,1019.0,-11.9,62.0,22.6,3h: stable | 6h: stable | 12h: amélioration,2025-12-14 19:23:11.979079
2025-12-14,19:48:51,1019.4,-11.6,61.0,21.7,3h: stable | 6h: amélioration | 12h: amélioration,2025-12-14 19:48:51.241378
